Papel,Cotação,Tipo,Data ult cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2021,P/Ativos,Marg. Líquida,2020,P/Cap. Giro,EBIT / Ativo,2019,P/Ativ Circ Liq,ROIC,2018,Div. Yield,ROE,2017,EV / EBITDA,Liquidez Corr,2016,EV / EBIT,Div Br/ Patrim,2015,Cres. Rec (5a),Giro Ativos,Ativo,Depósitos,Cart. de Crédito,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida_12meses,Receita Líquida_3meses,EBIT_12meses,EBIT_3meses,Result Int Financ_12meses,Result Int Financ_3meses,Rec Serviços_12meses,Rec Serviços_3meses,Lucro Líquido_12meses,Lucro Líquido_3meses
SGPS3,7.25,ON NM,03/11/2021,Springs ON NM,5.99,"Tecidos, Vestuário e Calçados",14.72,Fios e Tecidos,758.115,362500000,30/06/2021,1103460000,50000000,3.72,-3.05,-2.37,6.15,0.35,20.88,-1.36,3.39,34.4,21.04,0.20,6.0,-6.93,0.12,-6.7,-36.62,1.59,3.5,78.12,-0.53,4.0,-36.17,0.0,-11.4,154.35,5.41,"
1.20",56.25,"10,32",0.88,NaN,-9.2,0.58,3064990000,NaN,NaN,914754000,173792000,740962000,1339200000,1044050000,1784760000,385027000,106897000,20176000,NaN,NaN,NaN,NaN,-118739000,-37768000
SMLS3,22.40,ON NM,04/06/2021,SMILES ON NM,11.79,Diversos,22.79,Programas de Fidelização,0,2781160000,30/06/2021,2716440000,124159000,0.00,10.78,2.08,0.00,4.09,5.47,0.00,10.37,85.2,90.99,4.21,40.6,13.58,1.02,39.1,-35.60,18.78,9.8,-3.73,-6.72,10.7,-39.35,19.9,38.0,-16.59,9.06,"
1.10",0.00,"10,13",-,NaN,-22.2,0.24,2734720000,NaN,NaN,0,64721000,-64721000,1641480000,679678000,660323000,164179000,268192000,68303000,NaN,NaN,NaN,NaN,257995000,70233000
TAEE3,12.72,ON N2,03/11/2021,TAESA ON N2,8.61,Energia Elétrica,13.57,Energia Elétrica,945.670,13146100000,30/06/2021,19228500000,1033500000,2.75,4.84,2.63,2.58,2.06,6.17,5.74,4.50,77.7,51.21,3.35,74.4,22.11,0.87,69.1,20.65,11.61,19.2,29.15,-2.01,20.3,33.56,11.8,42.6,-6.44,6.54,"
2.01",0.00,"6,58",1.07,NaN,36.6,0.26,15185000000,NaN,NaN,6802000000,719541000,6082450000,2252480000,6378770000,3927980000,904321000,2921070000,733208000,NaN,NaN,NaN,NaN,2714640000,697895000
SULA11,27.48,UNT N2,03/11/2021,Sul America UNT N2,24.59,Previdência e Seguros,42.41,Seguradoras,103.872.000,11702200000,30/06/2021,-3242870000,1277530000,5.86,6.32,4.35,5.81,1.46,18.87,5.37,24.06,10.2,-21.96,0.62,2.6,-34.09,0.42,9.7,-21.37,1.10,1.7,115.16,-16.81,4.5,57.05,3.6,23.1,21.32,-5.26,"
2.25",1.38,"-6,67",0.26,NaN,3.7,0.68,27823600000,NaN,NaN,2079830000,17024900000,-14945100000,19090800000,8034060000,19025300000,5038200000,486413000,-23282000,NaN,NaN,NaN,NaN,1852970000,29339000
TAEE4,12.53,PN N2,03/11/2021,TAESA PN N2,8.61,Energia Elétrica,13.56,Energia Elétrica,2.301.020,12949700000,30/06/2021,19032200000,1033500000,2.20,4.77,2.63,3.81,2.03,6.17,4.68,4.43,77.7,49.23,3.30,74.4,20.41,0.85,69.1,17.96,11.44,19.2,47.47,-1.98,20.3,26.92,12.0,42.6,-40.64,6.47,"
2.01",0.00,"6,52",1.07,NaN,36.6,0.26,15185000000,NaN,NaN,6802000000,719541000,6082450000,2252480000,6378770000,3927980000,904321000,2921070000,733208000,NaN,NaN,NaN,NaN,2714640000,697895000
TCNO3,2.73,ON,03/11/2021,TECNOSOLO S/A ON,1.67,Construção e Engenharia,7.83,Engenharia Consultiva,129.008,18072600,30/06/2021,51702600,6620000,-0.36,-19.10,-0.14,-3.19,81.41,0.03,-11.94,-6.92,-,13.75,-,-,15.68,0.08,0.0,57.33,-0.18,-1.1,2.74,-0.09,-1.5,-47.10,0.0,-426.1,76.92,-17.32,"
0.29",-35.00,"-19,81",151.52,NaN,-10.6,-,235618000,NaN,NaN,33637000,7000,33630000,39894000,222000,0,0,-2610000,-284000,NaN,NaN,NaN,NaN,-946000,0
TASA3,22.31,ON,03/11/2021,TAURUS ARMAS ON,7.36,Máquinas e Equipamentos,28.53,Armas e Munições,1.026.780,2612750000,30/06/2021,3038050000,117111000,3.86,4.06,5.49,4.20,7.23,3.09,-1.98,4.04,45.4,206.89,1.16,28.7,40.58,1.59,28.6,213.15,5.23,39.3,6.68,-12.94,49.1,180.12,0.0,178.0,20.42,4.49,"
1.86",-4.70,"4,70",1.63,NaN,26.9,1.37,1644000000,NaN,NaN,588933000,163626000,425307000,1080490000,361553000,2253200000,651042000,646685000,193220000,NaN,NaN,NaN,NaN,643419000,193631000
TAEE11,37.54,UNT,03/11/2021,TAESA UNT,25.82,Energia Elétrica,40.69,Energia Elétrica,95.486.900,12932500000,30/06/2021,19014900000,1033500000,2.01,4.76,7.88,2.40,2.03,18.52,4.60,4.43,77.7,49.32,3.29,74.4,21.13,0.85,69.1,18.51,11.42,19.2,40.90,-1.97,20.3,25.45,12.0,42.6,10.94,6.47,"
2.01",46.14,"6,51",1.07,NaN,36.6,0.26,15185000000,NaN,NaN,6802000000,719541000,6082450000,2252480000,6378770000,3927980000,904321000,2921070000,733208000,NaN,NaN,NaN,NaN,2714640000,697895000
TCSA3,4.28,ON NM,03/11/2021,TECNISA ON NM,3.65,Construção Civil,10.28,Incorporações,5.032.720,315089000,30/06/2021,701465000,73619000,12.63,-2.15,-1.99,17.26,0.45,9.43,-19.85,-3.85,2.5,-45.50,1.57,-40.7,-57.16,0.20,-73.6,-45.85,0.72,-5.1,26.21,-1.65,-5.7,-29.61,0.0,-21.2,-3.74,-9.56,"
2.81",-0.47,"-8,58",0.78,NaN,-4.9,0.13,1598140000,NaN,NaN,539462000,153086000,386376000,679448000,694219000,200916000,65471000,-81795000,-10254000,NaN,NaN,NaN,NaN,-146847000,-54388000
TECN3,2.97,ON NM,03/11/2021,TECHNOS ON NM,1.00,"Tecidos, Vestuário e Calçados",4.06,Acessórios,15.947.600,233163000,30/06/2021,258021000,78506000,2.06,23.08,0.13,0.68,0.73,4.09,-12.65,4.00,50.9,200.00,0.76,19.1,128.46,0.37,3.3,-63.89,0.84,9.3,46.34,3.22,12.2,-30.70,0.0,3.1,-1.39,5.63,"
3.88",9.09,"4,43",0.42,NaN,-5.1,0.49,624389000,NaN,NaN,136507000,111649000,24858000,375640000,321252000,304811000,76526000,58292000,17812000,NaN,NaN,NaN,NaN,10104000,7576000
