Papel,Cotação,P/L,P/VP,PSR,Div.Yield%,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA%,Mrg Ebit%,Mrg. Líq.,Liq. Corr.,ROIC%,ROE%,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a%
DOHL4,6.06,3.6,0.67,0.703,8.51,0.519,1.19,5.18,1.69,5.26,4.52,13.58,19.54,5.32,10.79,18.72,54130.8,680327000.0,0.07,7.98
TBLE6,10.65,3.67,1.06,0.65,0.0,0.23,2.89,1.54,-0.41,3.9,3.35,42.17,17.72,1.53,17.62,28.99,0.0,8166660000.0,2.25,18.97
MRFG3,25.85,3.67,3.67,0.224,6.39,0.379,2.0,1.63,-1.2,2.94,2.58,13.76,8.47,1.54,38.6,99.93,199639000.0,4866930000.0,6.16,47.35
GPIV33,7.15,3.68,0.49,1.332,0.0,0.217,0.78,1.56,1.68,-0.37,-0.37,85.17,74.59,7.82,19.8,13.44,5222780.0,1586620000.0,0.06,40.83
PTPA3,76.5,3.69,1.14,0.505,0.0,0.375,2.28,3.63,-1.27,7.06,5.33,13.93,13.69,1.79,13.27,30.85,0.0,1201690000.0,1.59,18.08
MNDL3,51.99,3.76,-1.0,0.203,0.0,0.11,-0.22,1.65,-0.14,4.86,4.16,12.29,5.4,0.38,7.06,-26.57,53851.5,-128969000.0,-1.97,8.46
CESP3,24.5,3.84,1.07,3.724,13.75,0.552,27.78,6.77,-1.34,8.07,6.0,54.97,96.93,1.37,8.49,27.9,339404.0,7485270000.0,0.26,10.03
PTPA4,80.0,3.86,1.19,0.528,0.0,0.392,2.38,3.79,-1.33,7.23,5.45,13.93,13.69,1.79,13.27,30.85,0.0,1201690000.0,1.59,18.08
TASA4,21.7,3.95,7.03,1.128,0.0,1.546,5.09,3.93,-12.58,4.59,4.39,28.7,28.56,1.86,49.06,177.96,31231300.0,361553000.0,1.63,26.88
VINE3,17.2,4.04,0.65,0.577,0.0,0.34,1.38,4.52,7.6,7.4,5.54,12.76,14.42,1.91,8.62,16.14,0.0,1118520000.0,0.6,2.21
TASA3,22.31,4.06,7.23,1.16,0.0,1.589,5.23,4.04,-12.94,4.7,4.49,28.7,28.56,1.86,49.06,177.96,1026780.0,361553000.0,1.63,26.88
CLSC3,65.0,4.09,1.1,0.258,4.87,0.211,1.63,3.29,-0.47,4.36,3.3,7.85,6.31,1.57,7.83,26.85,6652.33,2283950000.0,0.84,9.35
CLSC4,65.5,4.12,1.11,0.26,5.32,0.213,1.64,3.31,-0.47,4.39,3.31,7.85,6.31,1.57,7.83,26.85,214076.0,2283950000.0,0.84,9.35
DAYC4,8.9,4.12,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.33,0.0,3009030000.0,0.0,8.15
PCAR3,24.8,4.14,0.5,0.258,8.75,0.137,-190.82,2.47,-0.37,4.43,2.68,10.42,6.73,1.0,7.39,12.18,111895000.0,13255000000.0,0.74,6.76
TBLE5,12.0,4.14,1.2,0.733,0.0,0.259,3.25,1.74,-0.47,4.09,3.52,42.17,17.72,1.53,17.62,28.99,0.0,8166660000.0,2.25,18.97
VINE5,17.64,4.14,0.67,0.592,0.0,0.349,1.41,4.64,7.8,7.52,5.63,12.76,14.42,1.91,8.62,16.14,0.0,1118520000.0,0.6,2.21
CMIN3,5.21,4.16,2.05,1.371,7.33,1.027,4.06,2.55,68.67,1.9,1.71,53.82,33.0,1.97,77.14,49.22,64816800.0,14239600000.0,0.33,0.0
CESP6,26.65,4.18,1.17,4.051,9.74,0.6,30.22,7.37,-1.46,8.66,6.44,54.97,96.93,1.37,8.49,27.9,70434000.0,7485270000.0,0.26,10.03
ELPL6,30.2,4.18,1.74,0.305,0.0,0.191,-7.63,2.15,-0.3,4.09,3.27,14.21,7.3,0.91,10.17,41.64,0.0,3422520000.0,1.81,9.22
REDE4,2.9,4.2,1.67,0.472,0.0,0.266,4.37,2.28,-0.56,4.45,3.59,20.7,15.51,1.26,13.8,39.62,0.0,3674760000.0,2.23,10.72
BNBR3,68.0,4.2,0.85,0.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.13,13641.8,6939950000.0,0.0,18.6
POSI3,8.99,4.21,1.16,0.45,3.79,0.408,1.27,6.83,2.58,8.55,6.77,6.59,10.84,1.66,9.81,27.56,62076600.0,1098110000.0,0.74,10.07
JHSF3,5.44,4.22,0.88,2.076,7.27,0.465,2.17,3.42,-3.18,3.99,3.84,60.67,48.83,3.14,16.24,20.76,25101000.0,4262310000.0,0.43,48.11
ELPL5,30.5,4.23,1.76,0.308,0.0,0.193,-7.71,2.17,-0.31,4.11,3.28,14.21,7.3,0.91,10.17,41.64,0.0,3422520000.0,1.81,9.22
RAPT4,10.6,4.25,1.61,0.503,6.12,0.4,1.3,3.65,-4.91,5.6,4.67,13.78,15.07,2.08,15.6,37.78,32221000.0,2283580000.0,1.61,27.46
